2562;2751;1710;-3789,3234
8457;7652;-4005;-2376,9728
6357;2345;-5506;1051,4247
4855;4357;-4216;2213,7209
3623;2734;5210;1221,12788
6985;5467;1511;2310,16273
7456;6183;-3242;-3678,6719
3658;4482;-5621;1312,3831
5746;6432;2555;1122,15855
8476;4676;-2144;5152,16160
6352;6382;-4895;2123,9962
4967;7646;-2525;1215,11303
8452;9876;3110;5213,26651
4526;3268;5110;1152,14056
8674;6352;1105;2112,18243
6359;2190;1153;-3123,6579
2435;2018;1271;1221,6945
9546;2602;2152;1213,15513
9876;5127;5132;2726,22861
6935;5137;1050;1255,14377
6895;1156;3025;1234,12310
5249;1256;2691;2125,11321
6354;-2075;5234;-7657,1856
6326;2512;1012;-8758,1092
6875;5170;5121;2312,19478
9874;2211;2116;1163,15364
6574;2502;1307;-2113,8270
6954;5262;-4210;1218,9224
6756;1581;1321;5021,14679
8745;5309;1541;2321,17916
6327;2077;1155;1673;1510,12742
8476;1305;1520;-6578;1010,5733
5479;6521;5551;-5628;2505,14428
6352;5503;6238;-7329;-2367,8397
5746;2356;-6211;3213;-2523,2581
6357;6871;5516;-2313;2313,18744
1238;5212;1105;-5270;5556,7841
5323;2315;1325;-4126;5505,10342
5476;5176;-2723;2201;5122,15252
5763;6222;-6217;-3321;-7828,-5381
4674;2312;-2321;-2292;2100;-2316,2157
3263;1152;2320;2612;6151;-7265,8233
5263;3210;8462;-2423;1002;5155,20669
5863;1254;547;3210;2253;1005,14132
5476;5463;5471;-2325;1000;-2125,12960
6398;2341;6352;5500;1120;-2252,19459
6958;4321;2150;-3721;4236;-7120,6824
8457;4352;1213;-5521;-5517;1212,4196
6351;2334;5152;1231;-8232;2325,9161
7456;6543;-2531;-2151;-5521;1155,4951
4435;1176;5550,11161
5309;8583;5006,18898
5633;6126;-3678,8081
1057;1265;2321,4643
4536;1762;-2778,3520
3425;1257;-2362,2320
4598;5468;1658,11724
2907;5156;5241,13304
6577;1168;2100,9845
3457;2169;1312,6938
7615;2157;2346,12118
6543;6813;2110,15466
9872;-3236;6236,12872
4587;2187;-5521,1253
6574;6871;-4111,9334
5309;9252;3501,18062
5733;8665;-5278,9120
5556;7925;5501,18982
5342;6302;2125,13769
1238;5206;6365,12809
5648;1720;-2551,4817
7635;-3584;7355,11406
3341;5310;6525,15176
7583;-1077;5015,11521
6573;5252;5120,16945
9815;1037;-7589,3263
6515;1529;2321,10365
2304;-1168;1510,2646
1256;1526;1100,3882
4372;1264;2116;5102,12854
2154;-1216;2055;8769;4116,15878
4732;3776;2371;1012;5100,16991
5843;8421;-2662;3112;-6782,7932
5683;7865;2005;-5678;-6789,3086
7612;6721;-5652;1256;5105,15042
2234;3546;-5678;2156;1511,3769
8946;7643;2526;1201;3167,23483
2591;9862;1001;5005;1243,19702
4580;4590;5681;1263;2116,18230
3457;5287;1021;2001;1103,12869
4576;2061;6612;1211;5264;8745,28469
7820;6629;1274;1015;5005;5410,27153
6577;5609;2341;1002;-2111;4362,17780
2235;9062;1512;5000;1206;7632,26647
7859;7621;-5576;1561;5511;3421,20397
3421;2156;-3722;1255;5512;3628,12250
3352;5376;6205;-3155;5150;5423,22351
5460;5374;2001;-1834;-5679;6352,11674
2790;3345;5005;-2678;1121;4753,14336
6736;6739;3472;-5672;-6897;5241,9619
