1.06;7.71;5.2;-0.49,13.48
1.3;1.8;0.14;4.34,7.58
4.23;6.16;-0.91;4.42,13.9
7.58;6.1;6.32;2.38,22.38
6.3;5.21;3.74;5.73,20.98
6.46;4.08;-0.74;4.2,14
2;0.15;6.68;1.23,10.06
7.4;-2.64;4.4;3.94,13.1
5.38;5.45;1.79;0.02,12.64
1.53;5.14;4.65;2.7,14.02
0.95;-0.18;5.22;-0.8,5.19
3.05;3.4;2.25;2.78,11.48
0;-1.23;4.86;3.23,6.86
2.08;2.24;7.62;6.52,18.46
1.63;6.32;5.19;6.54,19.68
1.53;0.56;-0.33;6.47,8.23
7.34;7.39;4.03;7.03,25.79
2.92;0.57;-0.73;1.63,4.39
3.33;7.78;4.99;0.92,17.02
5.2;3.52;1.84;7.94,18.5
6.98;-1.53;1.1;7.21,13.76
7.48;0.96;3.41;1.78,13.63
1.1;7.67;-0.9;4.21,12.08
1.02;7.66;4.5;3.48,16.66
0.1;7.36;83;2.57,93.03
1.37;0.12;23.1;-0.49,24.1
0.44;5.72;-7.08;5.06,4.14
2.13;3.02;15.62;1.05,21.82
1.53;0.2;65.5;3.59,70.82
6.39;5.46;87.72;6.52,106.09
7.52;0.53;28.8;3.49,40.34
2.93;1.87;2.06;0.44,7.3
6.98;-1.43;46.12;7.91,59.58
3.22;6.53;84.96;1.41,96.12
4.35;3.27;64.52;1.16,73.3
3.79;-0.18;20.36;-0.8,23.17
6.39;7.07;79.26;3.41,96.13
5.12;-2.53;2.91;3.76,9.26
4.96;1.3;66.83;6.81,79.9
7.52;0.15;15.17;6.65,29.49
2.46;3.34;24.98;0.67,31.45
3.08;3.02;31.76;4.75,42.61
6.71;4.02;15.6;7.81,34.14
5.2;2.13;57.01;2.63,66.97
1.42;3.32;87.49;3.94,96.17
7.79;-0.83;45.09;4.47,56.52
2.87;1.58;12.79;4.33,21.57
0.65;4.04;29.43;7.34,41.46
2.01;4.41;18.7;0.47,25.59
0.56;6.15;5.33;6.66,18.7
15.71;49.04;28.37;-12.01,81.11
8.9;12.49;79.07;72.21,172.67
5.64;-7.08;81.19;51.67,131.42
47.14;56.7;-5.7;75.78,173.92
51.55;65.71;0.12;-1.09,116.29
1.96;50.58;48.02;76.42,176.98
35.77;76.58;58.79;34.62,205.76
43.19;76.64;-9.33;18.84,129.34
11.57;51.86;18.32;-16.74,65.01
67.14;24.54;61.2;71.86,224.74
20.83;67.65;-14.63;41.03,114.88
18.19;38.88;15.28;15.47,87.82
38.25;42.09;37.21;59.92,177.47
80.7;5.03;1.61;75.14,162.48
24.37;42.71;18.77;48.16,134.01
23.05;64.92;67.51;13.4,168.88
70.92;41.49;31.88;79.59,223.88
52.06;64.3;42.81;65.63,224.8
39.92;22.47;74.08;50.08,186.55
50.12;42;17.64;20.55,130.31
5.75;44.54;45.32;36.3,131.91
68.7;86.51;43.91;59.95,259.07
62.1;41;54.66;83.2,240.96
0.91;27.51;7.05;9.85,45.32
8.84;49.08;69.25;67.51,194.68
7.6;105.71;34.68;5.27,153.26
