8% of 19,1.52
7% of 25,1.75
2% of 67,1.34
5% of 52,2.6
8% of 46,3.68
3% of 18,0.54
7% of 21,1.47
2% of 60,1.2
1% of 26,0.26
1% of 46,0.46
3% of 26,0.78
4% of 42,1.68
2% of 29,0.58
7% of 22,1.54
3% of 30,0.9
5% of 29,1.45
3% of 36,1.08
5% of 22,1.1
6% of 43,2.58
5% of 53,2.65
6% of 38,2.28
1% of 36,0.36
3% of 68,2.04
5% of 68,3.4
8% of 26,2.08
2% of 28,0.56
2% of 21,0.42
8% of 22,1.76
2% of 52,1.04
6% of 42,2.52
5% of 27,1.35
6% of 59,3.54
7% of 54,3.78
6% of 30,1.8
4% of 22,0.88
6% of 52,3.12
2% of 20,0.4
7% of 18,1.26
8% of 42,3.36
2% of 36,0.72
6% of 51,3.06
4% of 44,1.76
4% of 59,2.36
5% of 17,0.85
3% of 29,0.87
9% of 68,6.12
7% of 17,1.19
4% of 68,2.72
5% of 20,1
3% of 66,1.98
8% of 23,1.84
1% of 52,0.52
6% of 33,1.98
7% of 29,2.03
4% of 53,2.12
4% of 39,1.56
8% of 68,5.44
7% of 61,4.27
3% of 44,1.32
7% of 68,4.76
4% of 31,1.24
2% of 78,1.56
4% of 18,0.72
9% of 22,1.98
3% of 22,0.66
1% of 44,0.44
6% of 45,2.7
1% of 60,0.6
8% of 33,2.64
4% of 37,1.48
5% of 34,1.7
7% of 19,1.33
8% of 18,1.44
7% of 34,2.38
4% of 52,2.08
7% of 50,3.5
1% of 68,0.68
5% of 26,1.3
2% of 68,1.36
7% of 35,2.45
4% of 26,1.04
6% of 22,1.32
7% of 47,3.29
5% of 41,2.05
8% of 49,3.92
4% of 34,1.36
7% of 26,1.82
4% of 19,0.76
3% of 42,1.26
4% of 70,2.8
4% of 33,1.32
4% of 29,1.16
8% of 54,4.32
4% of 27,1.08
3% of 52,1.56
6% of 21,1.26
4% of 28,1.12
4% of 25,1
6% of 58,3.48
2% of 44,0.88
